Numero;Año ;Provincia;Cantón;Parroquia;Nombre comercial;Clasificación;Categoría;Tipología ;Registro;Número de habitaciones;Número de plazas;Latitud;Longitud
149;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Sandy Andy;Restaurante;ND;Planta turística;ND;;;-749065;-9577927
150;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Mr. Chicken;Restaurante;ND;Planta turística;ND;;;-748819;-9577355
151;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Yofrut Restaurante;Restaurante;ND;Planta turística;ND;;;-748817;-9577341
152;2019;Zamora Chinchipe;Yantzaza;Chicaña;Di’ Mary Restaurante;Restaurante;ND;Planta turística;ND;;;748792;-9577072
153;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Cerakej;Sala de recepciones y banquetes;Segunda;Planta turística;ND;;;-748962;-9576840
154;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Otawa;Sala de recepciones y banquetes;Segunda;Planta turística;ND;;;-748437;-9576228
155;2019;Zamora Chinchipe;Yantzaza;Yantzaza;D’Markos;Bar;Segunda;Planta turística;Ministerio de Turismo;;;-748.794.912;-9.577.115.530
156;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Sala karaoke la rampa;Bar;Segunda;Planta turística;Ministerio de Turismo;;;-748551;-9576269
157;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Maderos;Bar;Segunda;Planta turística;Ministerio de Turismo;;;-749045,347;-9577203,184
158;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Maderos Sucursal;Discoteca;Segunda;Planta turística;Ministerio de Turismo;;;-749177;-9578647
159;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Papi Chicken;Fuente de soda;Segunda;Planta turística;ND;;;-745626,485;-9575744,805
160;2019;Zamora Chinchipe;Yantzaza;Yantzaza;"Ada la K""fetería""";Restaurante;Segunda;Planta turística;ND;;;-748677;-9576192
161;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Tinku trip;Bar;Tercera;Planta turística;ND;;;-748505;-9576290
162;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Cafetería la viña;Cafetería;Tercera;Planta turística;ND;;;-748657,741;-9576107,274
163;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Yurank;Cafetería;Tercera;Planta turística;Ministerio de Turismo;;;-748632,207;-9575901,75
164;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Parador Turístico Ayamtai;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;;-749234,43;-9580212,842
165;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Casa de campo;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;;-755883;-9583267
166;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Tinku trip;Restaurante;Tercera;Planta turística;ND;;;-748505;-9576290
167;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Catering amazónico;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;;-761387;-9584038
168;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Compañía de transportes en turismo tour pulmón de la Amazonía;Transporte;Servicio transporte terrestre turístico;Planta turística;ND;;;-748756;-9576722
169;2018;Loja;Loja;Malacatos;Mi Compadre;Hostería;Segunda;Planta turística;ND;8;42;-4,208828;-7,922637
170;2018;Loja;Loja;Malacatos;Las Lagunas;Hostería;Segunda;Planta turística;ND;6;18;-4,225188;-7,92406
171;2018;Loja;Loja;Malacatos;Cabañas del sol;Hostería;Segunda;Planta turística;ND;6;14;-4,214017;-7,925089
172;2018;Loja;Loja;Malacatos;Vallto Malacatos;Hostal;1 estrella;Planta turística;ND;20;20;-4,21952;-7,925774
173;2018;Loja;Loja;Malacatos;Villa Colonial;Hostal Residencia;Segunda;Planta turística;ND;13;18;-4,218944;-7,925748
174;2018;Loja;Loja;Malacatos;El Remanzo;Hostería;3 estrellas;Planta turística;ND;9;25;-4,216554;-7,923383
175;2018;Loja;Loja;Malacatos;Quinta Esperanza;Hostería;3 estrellas;Planta turística;ND;13;18;-4,217082;-7,927734
176;2018;Loja;Loja;Malacatos;Asadero El Valle;Restaurante;ND;Planta turística;ND;4;20;-4,260738;-7,922353
