OBJECTID;date_;time_value_ms;time_uncertainty;latitude_value;longitude_value;depth_value;magnitude_value_M;quality_associatedPhaseCount;quality_usedPhaseCount;quality_associatedStationCount;quality_usedStationCount;quality_standardError;quality_azimuthalGap;quality_maximumDistance;quality_minimumDistance;quality_medianDistance;Tiempo
26;6/3/16 00:54;43.539.000.000.000.000.000;0.407377990000000;-1.413.405.180.000.000;-80.445.587.160.000.000;7.175.813.200.000.000;5.462.246.540.000.000;110.000.000.000.000.000;96.000.000.000.000.000;101.000.000.000.000.000;90.000.000.000.000.000;1.097.383.350.000.000;190.419.720.700.000.000;3.410.950.660.000.000;0.805531260000000;2.206.746.340.000.000;6/3/16 00:54
27;7/3/16 04:33;568.289.000.000.000.000.000;0.838003230000000;-2.985.036.850.000.000;-80.471.008.299.999.800;17.288.759.230.000.000;3.516.336.580.000.000;29.000.000.000.000.000;29.000.000.000.000.000;26.000.000.000.000.000;26.000.000.000.000.000;1.228.160.420.000.000;232.809.215.499.999.000;3.784.825.560.000.000;0.301529050000000;2.985.216.860.000.000;7/3/16 04:33
28;10/3/16 09:16;26.350.000.000.000.000.000;0.395701530000000;0.231324540000000;-79.849.136.349.999.800;12.756.677.630.000.000;3.545.094.890.000.000;56.000.000.000.000.000;56.000.000.000.000.000;54.000.000.000.000.000;54.000.000.000.000.000;0.707221300000000;171.942.806.200.000.000;2.220.525.270.000.000;0.310605470000000;1.686.241.390.000.000;10/3/16 09:16
29;10/3/16 16:31;295.783.000.000.000.000.000;0.260822280000000;-2.226.648.090.000.000;-78.923.416.140.000.000;2.094.882.010.000.000;3.582.821.730.000.000;42.000.000.000.000.000;31.000.000.000.000.000;37.000.000.000.000.000;26.000.000.000.000.000;0.576892440000000;89.928.971.290.000.000;1.636.362.080.000.000;0.409799400000000;0.864085260000000;10/3/16 16:31
30;12/3/16 11:41;637.536.000.000.000.000.000;0.395332710000000;-1.956.943.150.000.000;-77.383.636.469.999.900;6.389.999.870.000.000;3.763.269.740.000.000;81.000.000.000.000.000;65.000.000.000.000.000;70.000.000.000.000.000;54.000.000.000.000.000;0.802210510000000;226.576.370.200.000.000;2.534.121.270.000.000;0.779866460000000;1.625.825.050.000.000;12/3/16 11:41
31;15/3/16 13:02;85.461.000.000.000.000.000;0.123492430000000;-0.188936550000000;-78.488.456.729.999.800;8.426.959.040.000.000;4.098.994.510.000.000;131.000.000.000.000.000;118.000.000.000.000.000;106.000.000.000.000.000;95.000.000.000.000.000;0.502271320000000;32.785.171.509.999.800;1.383.401.040.000.000;0.007370290000000;0.518165890000000;15/3/16 13:02
32;21/3/16 03:18;216.013.000.000.000.000.000;0.567911820000000;-4.633.290.770.000.000;-80.212.730.410.000.000;27.744.688.029.999.800;4.172.295.800.000.000;38.000.000.000.000.000;38.000.000.000.000.000;26.000.000.000.000.000;26.000.000.000.000.000;1.119.597.080.000.000;259.324.540.399.999.000;5.148.622.990.000.000;0.367278580000000;3.575.572.250.000.000;21/3/16 03:18
33;22/3/16 04:52;105.920.000.000.000.000.000;0.288210450000000;-3.488.411.190.000.000;-80.031.471.249.999.800;29.558.710.099.999.900;4.511.247.680.000.000;94.000.000.000.000.000;89.000.000.000.000.000;84.000.000.000.000.000;81.000.000.000.000.000;0.758907880000000;115.643.737.800.000.000;4.816.376.690.000.000;0.068861280000000;3.140.132.430.000.000;22/3/16 04:52
34;26/3/16 02:17;687.589.000.000.000.000.000;0.190505750000000;-2.591.259.720.000.000;-79.418.655.400.000.000;10.000.000.000.000.000;4.267.900.550.000.000;44.000.000.000.000.000;33.000.000.000.000.000;41.000.000.000.000.000;31.000.000.000.000.000;6.442.189.160.000.000;68.650.817.869.999.800;2.483.155.490.000.000;0.422573300000000;1.466.575.500.000.000;26/3/16 02:17
35;1/4/16 17:18;949.047.000.000.000.000.000;0.623521150000000;-1.480.622.650.000.000;-80.613.639.829.999.800;10.000.000.000.000.000;4.239.676.980.000.000;40.000.000.000.000.000;30.000.000.000.000.000;37.000.000.000.000.000;28.000.000.000.000.000;0.898009730000000;235.389.694.200.000.000;2.449.942.590.000.000;1.288.029.550.000.000;2.247.279.410.000.000;1/4/16 17:18
36;6/4/16 09:05;253.305.000.000.000.000.000;0.245378000000000;-1.470.888.260.000.000;-79.289.535.520.000.000;4.213.377.950.000.000;3.786.032.590.000.000;84.000.000.000.000.000;69.000.000.000.000.000;73.000.000.000.000.000;59.000.000.000.000.000;0.638633050000000;130.193.084.699.998.000;2.204.452.510.000.000;0.420684160000000;1.116.842.630.000.000;6/4/16 09:05
37;8/4/16 04:55;480.598.000.000.000.000.000;0.219115640000000;-1.118.158.580.000.000;-78.405.342.099.999.800;3.041.994.330.000.000;3.550.198.350.000.000;55.000.000.000.000.000;55.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;0.356903770000000;88.665.233.610.000.000;1.643.860.940.000.000;0.200718950000000;0.478537350000000;8/4/16 04:55
38;9/4/16 11:26;675.822.000.000.000.000.000;0.236254630000000;-2.194.329.740.000.000;-77.805.313.110.000.000;5.000.000.000.000.000;4.806.352.680.000.000;110.000.000.000.000.000;102.000.000.000.000.000;100.000.000.000.000.000;92.000.000.000.000.000;1.009.902.790.000.000;194.375.834.500.000.000;3.243.049.620.000.000;0.583267510000000;1.722.303.150.000.000;9/4/16 11:26
39;13/4/16 21:28;523.839.000.000.000.000.000;0.480635420000000;-2.419.541.840.000.000;-78.726.562.500.000.000;106.666.336.100.000.000;3.801.294.300.000.000;58.000.000.000.000.000;49.000.000.000.000.000;55.000.000.000.000.000;47.000.000.000.000.000;0.571152500000000;118.220.565.800.000.000;3.311.612.130.000.000;0.509701730000000;1.871.800.300.000.000;13/4/16 21:28
40;15/4/16 15:03;912.841.000.000.000.000.000;0.699165580000000;-0.832726000000000;-80.807.876.590.000.000;21.119.470.600.000.000;3.672.453.730.000.000;54.000.000.000.000.000;26.000.000.000.000.000;50.000.000.000.000.000;22.000.000.000.000.000;0.577270400000000;214.753.318.799.998.000;2.696.681.260.000.000;0.130066530000000;2.128.602.500.000.000;15/4/16 15:03
41;16/4/16 23:47;380.623.000.000.000.000.000;0.322515520000000;0.310101540000000;-80.126.907.349.999.800;12.186.975.479.999.900;5.422.642.270.000.000;114.000.000.000.000.000;44.000.000.000.000.000;106.000.000.000.000.000;40.000.000.000.000.000;0.481166600000000;178.244.264.600.000.000;2.135.784.860.000.000;0.250400660000000;1.554.038.410.000.000;16/4/16 23:47
42;16/4/16 23:58;487.756.000.000.000.000.000;0.493313740000000;0.347396580000000;-80.157.653.809.999.900;17.044.311.520.000.000;7.405.960.750.000.000;132.000.000.000.000.000;30.000.000.000.000.000;128.000.000.000.000.000;28.000.000.000.000.000;0.656712020000000;185.836.488.699.998.000;1.850.543.260.000.000;0.295160560000000;0.953414200000000;16/4/16 23:58
43;17/4/16 00:11;971.631.000.000.000.000.000;0.697017400000000;-0.047748590000000;-80.232.658.389.999.800;5.427.056.790.000.000;4.169.996.970.000.000;21.000.000.000.000.000;20.000.000.000.000.000;19.000.000.000.000.000;18.000.000.000.000.000;0.957797190000000;207.798.193.000.000.000;2.294.001.100.000.000;0.209664550000000;1.635.830.050.000.000;17/4/16 00:11
44;17/4/16 00:16;458.798.000.000.000.000.000;0.715129320000000;-0.005128010000000;-80.331.718.440.000.000;7.715.023.040.000.000;3.964.450.330.000.000;58.000.000.000.000.000;15.000.000.000.000.000;55.000.000.000.000.000;12.000.000.000.000.000;0.573995300000000;231.591.079.699.999.000;1.366.541.270.000.000;0.283859760000000;0.939558150000000;17/4/16 00:19
45;17/4/16 00:19;106.854.000.000.000.000.000;0.489298550000000;0.040181670000000;-80.327.339.170.000.000;4.411.757.470.000.000;5.118.401.160.000.000;86.000.000.000.000.000;86.000.000.000.000.000;83.000.000.000.000.000;83.000.000.000.000.000;1.011.800.510.000.000;191.477.115.599.999.000;4.396.288.400.000.000;0.328217920000000;2.104.102.140.000.000;17/4/16 00:16
46;17/4/16 00:29;660.215.000.000.000.000.000;0.601353470000000;-0.214432540000000;-80.663.482.669.999.800;6.983.013.150.000.000;5.657.324.970.000.000;105.000.000.000.000.000;99.000.000.000.000.000;102.000.000.000.000.000;96.000.000.000.000.000;1.402.065.990.000.000;213.815.708.199.998.000;3.634.090.900.000.000;0.458056150000000;2.347.601.170.000.000;17/4/16 00:29
47;17/4/16 00:54;358.253.000.000.000.000.000;1.035.643.730.000.000;0.333257230000000;-80.476.760.859.999.800;7.600.702.290.000.000;4.369.739.140.000.000;32.000.000.000.000.000;32.000.000.000.000.000;30.000.000.000.000.000;30.000.000.000.000.000;0.867221220000000;255.735.965.700.000.000;2.949.383.970.000.000;0.654557700000000;2.115.928.170.000.000;17/4/16 00:54
48;17/4/16 00:57;971.443.000.000.000.000.000;0.791275210000000;-0.058341690000000;-80.202.789.310.000.000;8.377.313.610.000.000;4.084.802.030.000.000;48.000.000.000.000.000;48.000.000.000.000.000;48.000.000.000.000.000;48.000.000.000.000.000;0.793693400000000;204.294.019.700.000.000;2.491.258.860.000.000;0.208164380000000;1.886.102.560.000.000;17/4/16 00:57
49;17/4/16 00:59;732.671.000.000.000.000.000;0.613629920000000;0.322830620000000;-80.224.548.339.999.800;5.969.406.600.000.000;4.662.755.590.000.000;81.000.000.000.000.000;80.000.000.000.000.000;80.000.000.000.000.000;79.000.000.000.000.000;0.912593970000000;197.333.320.600.000.000;3.269.943.710.000.000;0.586925860000000;2.078.772.310.000.000;17/4/16 00:59
50;17/4/16 01:09;270.660.000.000.000.000.000;0.383404000000000;-0.030823320000000;-80.191.665.650.000.000;7.451.965.810.000.000;4.579.552.970.000.000;97.000.000.000.000.000;97.000.000.000.000.000;93.000.000.000.000.000;93.000.000.000.000.000;3.577.292.000.000.000;174.985.260.000.000.000;4.913.420.200.000.000;0.236021460000000;1.991.346.360.000.000;17/4/16 01:09
51;17/4/16 01:19;631.433.000.000.000.000.000;0.546580070000000;-0.138151240000000;-80.301.651.000.000.000;9.472.524.640.000.000;4.691.003.140.000.000;96.000.000.000.000.000;86.000.000.000.000.000;91.000.000.000.000.000;83.000.000.000.000.000;0.923171260000000;179.942.535.400.000.000;2.708.395.000.000.000;0.158960660000000;2.016.188.620.000.000;17/4/16 01:19
52;17/4/16 01:25;309.812.000.000.000.000.000;1.051.913.870.000.000;0.238948520000000;-80.042.594.910.000.000;6.478.193.760.000.000;3.795.933.050.000.000;45.000.000.000.000.000;41.000.000.000.000.000;45.000.000.000.000.000;41.000.000.000.000.000;0.632024840000000;223.362.375.300.000.000;2.352.186.680.000.000;0.409229460000000;1.769.660.590.000.000;17/4/16 01:25
53;17/4/16 01:32;516.152.000.000.000.000.000;0.625434320000000;-0.086872730000000;-80.409.912.109.999.800;6.281.113.150.000.000;3.917.634.040.000.000;55.000.000.000.000.000;54.000.000.000.000.000;52.000.000.000.000.000;51.000.000.000.000.000;0.807510890000000;227.159.988.400.000.000;2.695.005.420.000.000;0.269950930000000;2.132.561.680.000.000;17/4/16 01:32
54;17/4/16 01:34;555.275.000.000.000.000.000;0.498355740000000;0.048500980000000;-80.135.681.149.999.800;7.219.111.920.000.000;3.895.917.970.000.000;77.000.000.000.000.000;76.000.000.000.000.000;73.000.000.000.000.000;73.000.000.000.000.000;0.922756550000000;191.988.073.300.000.000;2.647.613.290.000.000;0.322541620000000;1.919.519.420.000.000;17/4/16 01:34
55;17/4/16 01:44;277.064.000.000.000.000.000;1.061.842.720.000.000;-0.028542700000000;-80.331.542.970.000.000;6.775.292.870.000.000;3.843.013.030.000.000;42.000.000.000.000.000;40.000.000.000.000.000;40.000.000.000.000.000;38.000.000.000.000.000;0.818639310000000;256.250.213.600.000.000;2.834.398.270.000.000;0.267643210000000;2.081.618.550.000.000;17/4/16 01:44
56;17/4/16 01:49;967.185.000.000.000.000.000;0.935999020000000;-0.178318460000000;-80.677.902.219.999.800;10.000.000.000.000.000;3.763.316.380.000.000;67.000.000.000.000.000;63.000.000.000.000.000;66.000.000.000.000.000;63.000.000.000.000.000;0.855401350000000;244.142.654.400.000.000;2.926.708.460.000.000;0.477741570000000;2.313.887.840.000.000;17/4/16 01:49
57;17/4/16 02:00;185.843.000.000.000.000.000;1.291.240.540.000.000;0.288166170000000;-80.425.979.609.999.800;6.769.252.780.000.000;4.112.890.730.000.000;81.000.000.000.000.000;79.000.000.000.000.000;79.000.000.000.000.000;77.000.000.000.000.000;0.822745030000000;249.016.868.600.000.000;2.974.843.500.000.000;0.593550380000000;2.223.845.720.000.000;17/4/16 02:00
58;17/4/16 02:13;294.836.000.000.000.000.000;0.976970400000000;0.005275920000000;-80.384.887.699.999.800;10.000.000.000.000.000;3.956.774.040.000.000;57.000.000.000.000.000;54.000.000.000.000.000;57.000.000.000.000.000;54.000.000.000.000.000;0.899865390000000;236.430.412.300.000.000;2.701.249.600.000.000;0.323577880000000;2.142.919.780.000.000;17/4/16 02:13
59;17/4/16 02:17;236.209.000.000.000.000.000;0.692253460000000;-0.176283170000000;-80.657.043.459.999.800;6.171.785.350.000.000;5.179.055.520.000.000;102.000.000.000.000.000;65.000.000.000.000.000;100.000.000.000.000.000;63.000.000.000.000.000;0.620752200000000;214.370.861.100.000.000;3.191.321.370.000.000;0.457661300000000;2.263.325.690.000.000;17/4/16 02:17
60;17/4/16 02:23;535.135.000.000.000.000.000;1.089.372.650.000.000;0.275784850000000;-80.159.538.269.999.800;9.601.118.090.000.000;4.235.831.640.000.000;67.000.000.000.000.000;67.000.000.000.000.000;66.000.000.000.000.000;66.000.000.000.000.000;0.761558540000000;240.347.126.000.000.000;2.674.983.030.000.000;0.517533900000000;1.985.609.410.000.000;17/4/16 02:23
61;17/4/16 02:23;177.703.000.000.000.000.000;0.862268470000000;0.016448310000000;-80.247.550.959.999.800;10.000.000.000.000.000;4.330.378.730.000.000;76.000.000.000.000.000;69.000.000.000.000.000;75.000.000.000.000.000;68.000.000.000.000.000;1.031.725.020.000.000;217.703.924.199.998.000;2.739.690.780.000.000;0.285062190000000;1.941.964.750.000.000;17/4/16 02:23
62;17/4/16 02:45;300.628.000.000.000.000.000;0.931284420000000;-0.168468420000000;-80.727.249.150.000.000;4.340.641.020.000.000;4.309.554.230.000.000;75.000.000.000.000.000;73.000.000.000.000.000;73.000.000.000.000.000;71.000.000.000.000.000;0.713977050000000;247.242.363.000.000.000;3.253.204.350.000.000;0.528047260000000;2.375.268.700.000.000;17/4/16 02:45
63;17/4/16 02:48;55.873.000.000.000.000.000;0.704291840000000;-0.173387630000000;-80.755.783.080.000.000;10.000.000.000.000.000;4.141.271.930.000.000;69.000.000.000.000.000;57.000.000.000.000.000;68.000.000.000.000.000;56.000.000.000.000.000;0.649356820000000;280.055.213.900.000.000;3.053.336.140.000.000;0.555257200000000;2.365.564.590.000.000;17/4/16 02:48
64;17/4/16 03:05;223.596.000.000.000.000.000;0.545957530000000;0.371320660000000;-80.308.509.830.000.000;8.359.347.339.999.990;5.083.964.860.000.000;102.000.000.000.000.000;98.000.000.000.000.000;97.000.000.000.000.000;93.000.000.000.000.000;0.921406420000000;228.617.107.400.000.000;5.328.665.260.000.000;0.642700200000000;2.229.992.390.000.000;17/4/16 03:05
65;17/4/16 03:09;597.690.000.000.000.000.000;0.521054150000000;-0.027869340000000;-80.309.608.460.000.000;9.223.544.120.000.000;4.275.055.010.000.000;92.000.000.000.000.000;89.000.000.000.000.000;87.000.000.000.000.000;84.000.000.000.000.000;0.931335200000000;186.359.348.299.999.000;3.504.855.160.000.000;0.258910890000000;2.016.780.850.000.000;17/4/16 03:09
66;17/4/16 03:16;811.425.000.000.000.000.000;0.948353720000000;0.387722880000000;-80.531.425.479.999.800;6.730.991.360.000.000;3.963.251.570.000.000;52.000.000.000.000.000;52.000.000.000.000.000;48.000.000.000.000.000;48.000.000.000.000.000;0.853968510000000;262.421.279.900.000.000;2.896.252.390.000.000;0.726837160000000;2.274.042.130.000.000;17/4/16 03:16
67;17/4/16 04:02;440.770.000.000.000.000.000;0.407140560000000;-0.118497390000000;-80.865.661.619.999.800;10.000.000.000.000.000;4.752.264.760.000.000;110.000.000.000.000.000;99.000.000.000.000.000;105.000.000.000.000.000;96.000.000.000.000.000;0.907962430000000;228.527.572.600.000.000;4.319.869.040.000.000;0.673686920000000;2.502.258.540.000.000;17/4/16 04:02
68;17/4/16 04:04;4.934.000.000.000.000.000;1.164.039.710.000.000;0.539108630000000;-80.051.979.059.999.800;6.399.788.860.000.000;4.155.244.490.000.000;20.000.000.000.000.000;20.000.000.000.000.000;18.000.000.000.000.000;18.000.000.000.000.000;0.785884250000000;228.970.651.600.000.000;2.120.640.040.000.000;0.331163620000000;0.911130190000000;17/4/16 04:04
69;17/4/16 04:25;947.155.000.000.000.000.000;0.393792340000000;-0.454394310000000;-80.380.104.059.999.800;8.436.708.449.999.990;4.042.469.920.000.000;100.000.000.000.000.000;100.000.000.000.000.000;97.000.000.000.000.000;97.000.000.000.000.000;1.181.893.260.000.000;179.820.579.500.000.000;4.550.615.790.000.000;0.252561480000000;2.119.891.410.000.000;17/4/16 04:25
70;17/4/16 04:30;212.390.000.000.000.000.000;0.470407340000000;-0.102121390000000;-80.444.488.530.000.000;5.358.456.610.000.000;4.029.640.520.000.000;91.000.000.000.000.000;89.000.000.000.000.000;87.000.000.000.000.000;85.000.000.000.000.000;0.922068130000000;196.438.709.300.000.000;4.267.302.040.000.000;0.287717130000000;2.123.917.580.000.000;17/4/16 04:30
